time step (dt), time (t) ,Total Energy, potential energy(E_pot) , kinetic energy (E_kin)
0.1,6.4,-3327.76,-3327.76,1.40414e-05
0.1,6.5,-3327.77,-3327.77,1.44735e-05
0.1,6.6,-3327.78,-3327.78,1.4912e-05
0.1,6.7,-3327.79,-3327.79,1.53569e-05
0.1,6.8,-3327.8,-3327.8,1.58082e-05
0.1,6.9,-3327.81,-3327.81,1.62658e-05
0.1,7,-3327.82,-3327.82,1.67298e-05
0.1,7.1,-3327.83,-3327.83,1.72002e-05
0.1,7.2,-3327.84,-3327.84,1.76769e-05
0.1,7.3,-3327.85,-3327.85,1.81599e-05
0.1,7.4,-3327.86,-3327.86,1.86492e-05
0.1,7.5,-3327.87,-3327.87,1.91449e-05
0.1,7.6,-3327.88,-3327.88,1.96468e-05
0.1,7.7,-3327.89,-3327.89,2.01551e-05
0.1,7.8,-3327.9,-3327.9,2.06696e-05
0.1,7.9,-3327.91,-3327.91,2.11904e-05
0.1,8,-3327.92,-3327.92,2.17175e-05
0.1,8.1,-3327.93,-3327.93,2.22508e-05
0.1,8.2,-3327.94,-3327.94,2.27904e-05
0.1,8.3,-3327.95,-3327.95,2.33361e-05
0.1,8.4,-3327.97,-3327.97,2.38881e-05
0.1,8.5,-3327.98,-3327.98,2.44463e-05
0.1,8.6,-3327.99,-3327.99,2.50107e-05
0.1,8.7,-3328,-3328,2.55813e-05
0.1,8.8,-3328.01,-3328.01,2.61581e-05
0.1,8.9,-3328.02,-3328.02,2.6741e-05
0.1,9,-3328.04,-3328.04,2.73301e-05
0.1,9.1,-3328.05,-3328.05,2.79252e-05
0.1,9.2,-3328.06,-3328.06,2.85266e-05
0.1,9.3,-3328.07,-3328.07,2.9134e-05
0.1,9.4,-3328.08,-3328.08,2.97475e-05
0.1,9.5,-3328.1,-3328.1,3.03672e-05
0.1,9.6,-3328.11,-3328.11,3.09929e-05
0.1,9.7,-3328.12,-3328.12,3.16246e-05
0.1,9.8,-3328.14,-3328.14,3.22624e-05
0.1,9.9,-3328.15,-3328.15,3.29063e-05
0.1,10,-3328.16,-3328.16,3.35562e-05
0.1,10.1,-3328.18,-3328.18,3.4212e-05
0.1,10.2,-3328.19,-3328.19,3.48739e-05
0.1,10.3,-3328.2,-3328.2,3.55418e-05
0.1,10.4,-3328.22,-3328.22,3.62156e-05
0.1,10.5,-3328.23,-3328.23,3.68954e-05
0.1,10.6,-3328.24,-3328.24,3.75812e-05
0.1,10.7,-3328.26,-3328.26,3.82728e-05
0.1,10.8,-3328.27,-3328.27,3.89704e-05
0.1,10.9,-3328.29,-3328.29,3.96739e-05
0.1,11,-3328.3,-3328.3,4.03833e-05
0.1,11.1,-3328.32,-3328.32,4.10986e-05
0.1,11.2,-3328.33,-3328.33,4.18197e-05
0.1,11.3,-3328.35,-3328.35,4.25466e-05
0.1,11.4,-3328.36,-3328.36,4.32794e-05
0.1,11.5,-3328.38,-3328.38,4.40181e-05
0.1,11.6,-3328.39,-3328.39,4.47625e-05
